NO;TGL SJ;NOPOL;NO BSTK;NAMA DEALER;KOTA;RANGE;HARGA @;QTY REG;QTY PCX;JUMLAH (RP);SUBSIDI;TOT SUBS;TOT QTY;NAMA EKSPEDISI;JENIS TRUK;KET1;KET2;KET3;CEK TARIF;CEK PERKALIAN;CEK NOPOL;CEK KODE DEALER;KET EROR;;? RINGKASAN PENGECEKAN;
;;;;;;;;;;;;;;;;;;;;;;;;;No. Invoice;276/PT-TM/H/V/2026
;;PT TUNAS MUDA;;;;;;;;;;;;;;;;;;;;;;;Tanggal;30 May 2026
;;Jl. Raya Pegangsaan Dua No. 88 B;;;;;;;;;;;;;;;;;;;;;;;Customer;PT ASTRA INTERNATIONAL Tbk - HSO Yogyakarta
;;Jakarta Utara 14250;;;;;;;;;;;;;;;;;;;;;;;Alamat Baris 1;Jl. Raya Magelang KM. 7,2 Yogyakarta 55285
;;Tlp. (021) 4618826;;;;;;;;;;;;;;;;;;;;;;;Alamat Baris 2;
;;;;;;;;;;;;;;;;;;;;;;;;;Alamat Baris 3;
;;;;;;;;;;;;;;;;;;;;;;;;;Up;U.P. Bapak Enjang
INVOICE;;;;;;;;;;;;;;;;;;;;;;;;;Kota Terdeteksi;YOGYAKARTA
Kepada Yth :;;;;;;;;;;;;;;;;;;;;;;;;;Format Invoice;276/PT-TM/H/V/2026
PT ASTRA INTERNATIONAL Tbk - HSO Yogyakarta;;;;;;;;;;;;No.;276/PT-TM/H/V/2026;;;;;;;;;;;;Cek Romawi;
Jl. Raya Magelang KM. 7,2 Yogyakarta 55285;;;;;;;;;;;;Tanggal;46172;;;;;;;;;;;;Cek No.Urut;
;;;;;;;;;;;;;;;;;;;;;;;;;Cek Bulan SJ;
U.P. Bapak Enjang;;;;;;;;;;;;;;;;;;;;;;;;;Dicek pada;11 Jun 2026 14:15
;;;;;;;;;;;;;;;;;;;;;;;;;Cek Terbilang;
;;;;;;;;;;;;;;;;;;;;;;;;;Cek Keterangan;
No.;TGL SJ;NOPOL;NO BSTK;NAMA DEALER;KOTA;RANGE;HARGA;QTY REGULER;QTY PCX/CBR;JUMLAH (RP);SUBSIDI LIFT;TOTAL SUBSIDI;TOTAL QTY;NAMA EKSPEDISI;KET;;;;;;;;;;;
1;18-May-26;B 9881 UVY;3071329188;HSO KALIURANG;YOGYAKARTA;RANGE 1;19300;21;;405300;18000;378000;21;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;??????????????????;
2;18-May-26;B 9014 UVZ;3064069760;CV UTAMA MOTOR SENTOSA;YOGYAKARTA;RANGE 1;19300;21;1;443900;18000;396000;22;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;REKAP GRAND TOTAL;
3;18-May-26;B 9963 UIO;3064069756;PT DAYA ANUGRAH M;SLEMAN;RANGE 1;19300;4;1;115800;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Unit REG;1,279
4;19-May-26;B 9963 UIO;3064070390;CV CAHAYA BA ;MUNTILAN;RANGE 1;19300;5;;96500;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Unit PCX/CBR;192
;19-May-26;B 9963 UIO;3071329489;HSO JOMBOR;YOGYAKARTA;RANGE 1;19300;6;;115800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total QTY;1,471
5;20-May-26;B 9960 UIO;3064070830;PT ARMADA TUNAS JAYA;MUNTILAN;RANGE 1;19300;1;;19300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Jumlah (Rp);57,799,400
6;20-May-26;B 9967 UIO;3064070785;PT NAGAMAS;SLEMAN;RANGE 1;19300;2;1;77200;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Subsidi (Rp);26,478,000
;20-May-26;B 9967 UIO;3064070787;PT DAYA ANUGRAH M;SLEMAN;RANGE 1;19300;1;1;57900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;20-May-26;B 9967 UIO;3071329754;HSO BANTUL;YOGYAKARTA;RANGE 1;19300;2;2;115800;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;??????????????????;
7;21-May-26;B 9922 UIO;3064071397;CV CAHAYA BA ;MUNTILAN;RANGE 1;19300;2;;38600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;HASIL CEK KESELURUHAN;
8;22-May-26;B 9923 UIO;3071330263;HSO JOMBOR;YOGYAKARTA;RANGE 1;19300;6;2;193000;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Total Baris Data;321
;22-May-26;B 9923 UIO;3064071753;CV CAHAYA BA ;MUNTILAN;RANGE 1;19300;2;;38600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Baris OK ?;321
9;23-May-26;B 9967 UIO;3064072175;PT NAGAMAS;SLEMAN;RANGE 1;19300;6;;115800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Baris Error ?;0
;23-May-26;B 9967 UIO;3064072190;PT DAYA ANUGRAH M;SLEMAN;RANGE 1;19300;3;;57900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;Persentase OK;100.0%
10;25-May-26;B 9922 UIO;3064072649;PT ARMADA TUNAS JAYA;MUNTILAN;RANGE 1;19300;6;1;154400;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;25-May-26;B 9922 UIO;3064072651;CV CAHAYA BA ;MUNTILAN;RANGE 1;19300;5;;96500;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;??????????????????;
11;25-May-26;B 9005 UVZ;3064072492;CV CAHAYA  ;YOGYAKARTA;RANGE 1;19300;1;;19300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;TARIF REFERENSI (YGY);
12;26-May-26;B 9967 UIO;3064072966;CV CENDANA MAKMUR;BANTUL;RANGE 1;19300;6;3;231600;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;RANGE 1;Rp 19,300.0 | PCX Rp 38,600.0 | Sub Rp 18,000.0
;26-May-26;B 9967 UIO;3064072985;CV CAHAYA;YOGYAKARTA;RANGE 1;19300;3;;57900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;RANGE 2;Rp 26,800.0 | PCX Rp 53,600.0 | Sub Rp 18,000.0
;26-May-26;B 9967 UIO;3071330907;HSO BANTUL 2;BANTUL;RANGE 1;19300;7;3;250900;18000;180000;10;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;RANGE 3;Rp 42,300.0 | PCX Rp 84,600.0 | Sub Rp 18,000.0
13;26-May-26;B 9966 UIO;3064072989;PT NUSANTARA SAKTI;YOGYAKARTA;RANGE 1;19300;3;3;173700;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;RANGE 4;Rp 47,300.0 | PCX Rp 94,600.0 | Sub Rp 18,000.0
